log,fitness_heuristics,precision_heuristics,fscore_heuristics,size_heuristics,pnsize_heuristics,cfc_heuristics,fitness_ilp,precision_ilp,fscore_ilp,size_ilp,pnsize_ilp,cfc_ilp,fitness_imf,precision_imf,fscore_imf,size_imf,pnsize_imf,cfc_imf
2_ense_rmcv_genELtask_67_06_00,0.376214776532216,0.994733180959952,0.545948253307299,29.0,18.0,10.0,,,,,,,0.945685191537984,0.507638900441974,0.6606462982975451,28.0,22.0,8.0
2_enself_rmcv_genELtask_13_01_01,0.63263614857424,0.858184089962515,0.7283484130513961,14.0,8.0,7.0,0.99997771174738,0.940229218047294,0.96918349021716,13.0,8.0,3.0,0.95097054618107,0.940229218047294,0.945569378691894,13.0,8.0,4.0
2_rt10v_rutpt_genELtask_1_00_00,0.538653366583541,1.0,0.700162074554294,5.0,4.0,0.0,0.999955489786125,1.0,0.9999777443977612,15.0,8.0,4.0,0.999932932799884,1.0,0.999966465275402,11.0,10.0,2.0
2_ense_enve_genELtask_2_00_01,0.497684336787392,1.0,0.6646051167964401,5.0,4.0,0.0,0.999950027482386,0.888316761363636,0.940833546600142,9.0,6.0,2.0,0.9999249375444692,1.0,0.999962467363588,11.0,8.0,4.0
2_rmcv_rutpt_genELtask_35_03_01,0.621532802457298,0.776883640795058,0.690579217337543,13.0,8.0,6.0,,,,,,,,,,,,
2_enseef_rutpt_genELtask_30_02_07,0.581125408551174,0.9817974971558592,0.7301031542449821,33.0,19.0,14.0,,,,,,,,,,,,
2_enve_rutpt_genELtask_98_08_09,0.706094341484646,0.653694398543149,0.678884744790711,60.0,38.0,32.0,,,,,,,0.946299547882118,0.5820056648349491,0.720735220838514,35.0,23.0,16.0
2_ense_enve_genELtask_27_02_04,0.719424014941704,0.864942528735632,0.785500589115627,13.0,7.0,5.0,0.999968338733338,0.429313929313929,0.600721559748524,21.0,7.0,6.0,0.9999190024906072,0.8978260869565211,0.946126400507407,21.0,14.0,11.0
2_rmcv_rutpt_genELtask_40_03_06,0.5606421352399971,0.948186528497409,0.704643718294452,53.0,31.0,23.0,0.999975738293562,0.619124797406807,0.7647576697452171,72.0,34.0,24.0,0.944173528628774,0.537360890302066,0.68491412883913,43.0,32.0,18.0
2_enve_rmcv_genELtask_57_05_01,0.7924317665331421,0.691240242844752,0.738385200063108,36.0,21.0,21.0,0.999977588346547,0.154388821055487,0.267480688435321,48.0,14.0,18.0,0.8854314359131831,0.5931142410015651,0.7103764222778941,49.0,31.0,29.0
2_ense_rutpt_genELtask_13_01_01,0.558377492316494,0.9734048560135512,0.709666569930252,10.0,6.0,4.0,0.999958764759687,0.5019278789659221,0.6683689264379801,17.0,6.0,5.0,0.9998904744560232,0.98306242807825,0.991405046861986,17.0,12.0,9.0
2_enself_rutpt_genELtask_6_00_05,0.304990362815595,0.965804942797547,0.463585596534443,7.0,5.0,2.0,,,,,,,,,,,,
2_enself_enve_genELtask_1_00_00,0.99999235550635,1.0,0.9999961777385652,11.0,8.0,2.0,0.99999235550635,1.0,0.9999961777385652,11.0,8.0,2.0,0.99999235550635,1.0,0.9999961777385652,11.0,8.0,2.0
2_ense_enve_genELtask_75_06_08,0.376214776532216,0.994733180959952,0.545948253307299,27.0,17.0,8.0,,,,,,,,,,,,
2_ense_rutpt_genELtask_63_05_07,0.6573958369729971,0.8956219596942321,0.758237476824929,20.0,12.0,7.0,0.9999945106782452,0.306359918200409,0.469027745793637,23.0,9.0,6.0,0.9999372360394012,0.675123929698062,0.806038095867535,34.0,24.0,15.0
2_ense_enseef_genELtask_13_01_01,0.5117056856187291,1.0,0.676991150442477,5.0,4.0,0.0,0.9999494991947552,0.8935532233883051,0.9437621478696352,9.0,6.0,2.0,0.999924672038159,1.0,0.999962334600451,11.0,8.0,4.0
2_enve_rt10v_genELtask_87_07_09,0.596839186930711,0.9805402930402932,0.7420216614732781,11.0,7.0,4.0,0.999963701948584,0.458929917106254,0.629125047708193,20.0,7.0,5.0,0.9998912061922872,0.985859162976717,0.992825606792686,20.0,14.0,10.0
2_enseef_rmcv_genELtask_26_02_03,0.205214360644956,0.459392779284309,0.283698413158103,38.0,22.0,12.0,0.9999836414087492,0.226789023577154,0.36972671482018,52.0,16.0,17.0,0.9998919442260292,0.545462580653307,0.7058621584772831,37.0,23.0,13.0
2_enseef_rmcv_genELtask_7_00_06,0.99999164182521,1.0,0.99999582089514,10.0,7.0,2.0,0.99999164182521,1.0,0.99999582089514,10.0,7.0,2.0,0.99999164182521,1.0,0.99999582089514,10.0,7.0,2.0
2_enseef_rutpt_genELtask_66_05_10,0.333333333333333,0.9333084513284652,0.491224623846678,35.0,25.0,3.0,,,,,,,,,,,,
2_ense_enve_genELtask_38_03_04,0.628502768118806,0.90566037735849,0.742046314726516,12.0,7.0,5.0,0.999958783900242,0.418118466898954,0.589673423575309,24.0,8.0,7.0,0.999890172988081,0.932038834951456,0.964772999505981,20.0,14.0,11.0
2_ense_enself_genELtask_46_04_01,0.239994432129174,0.7058823529411761,0.358202753504566,60.0,37.0,26.0,0.9999768005382272,0.538726333907056,0.70021802605904,67.0,31.0,22.0,0.9918439784394,0.277625570776255,0.433820962157561,42.0,27.0,18.0
2_ense_rmcv_genELtask_57_05_01,0.985651749748327,0.5835562302706091,0.7330872985183551,37.0,24.0,24.0,0.999964019789788,0.343095044153963,0.5108974113390451,35.0,13.0,13.0,0.8686210699890091,0.5116754401187791,0.643995061971668,37.0,22.0,20.0
2_enseef_rt10v_genELtask_57_05_01,0.199999999999999,0.975856246377176,0.331964472488468,34.0,24.0,4.0,,,,,,,,,,,,
2_enve_rt10v_genELtask_95_08_06,0.268828828828828,0.996609709791158,0.423438061835497,22.0,15.0,2.0,0.999977373474579,0.997168101495242,0.99857076166263,33.0,22.0,7.0,0.999954747973054,0.997168101495242,0.998559480587699,21.0,23.0,2.0
2_ense_rmcv_genELtask_16_01_04,0.435822410197191,0.9965718203633872,0.6064368641241951,12.0,8.0,6.0,0.999945323428963,0.6885620915032681,0.8155421020958831,16.0,7.0,4.0,0.9953094786946092,0.998420470699731,0.9968625475200952,21.0,14.0,11.0
2_ense_enve_genELtask_16_01_04,0.565929661227466,0.928838951310861,0.7033296105376341,11.0,7.0,4.0,0.9999528277781492,0.498203592814371,0.665057512815563,18.0,7.0,5.0,0.9999027118817292,0.9563218390804592,0.97762682699994,18.0,13.0,9.0
2_enseef_enve_genELtask_16_01_04,0.6965863019071621,0.8709677419354831,0.7740775519905101,13.0,7.0,5.0,,,,,,,0.99991994157317,0.902439024390243,0.9486819182778732,21.0,14.0,11.0
2_enve_rt10v_genELtask_26_02_03,0.366366600647832,1.0,0.5362639872405071,9.0,6.0,4.0,0.9999518739739792,0.7030075187969921,0.825590661554185,14.0,6.0,3.0,0.99990642611941,1.0,0.9999532108705852,14.0,10.0,7.0
2_ense_enve_genELtask_86_07_08,0.210526315789473,0.931621860478376,0.343442159381344,31.0,23.0,4.0,,,,,,,,,,,,
2_ense_rt10v_genELtask_36_03_02,0.686074934451525,0.8489932885906041,0.758888766083978,12.0,7.0,5.0,0.999964849720434,0.389484978540772,0.560612236747381,24.0,8.0,7.0,0.999898794993806,0.8897058823529411,0.9415893708653852,20.0,14.0,11.0
2_ense_rutpt_genELtask_74_06_07,0.376214776532216,0.994733180959952,0.545948253307299,27.0,17.0,8.0,0.999991271385349,0.422792878091587,0.5943124793046201,34.0,19.0,8.0,0.945685191537984,0.507638900441974,0.6606462982975451,28.0,22.0,8.0
2_ense_enve_genELtask_63_05_07,0.8345111061710161,0.750922833538407,0.790513472393637,19.0,12.0,10.0,0.999984077546128,0.6069269554658,0.7553838130811351,17.0,9.0,5.0,0.951311110211227,0.806136044880785,0.872727437197594,17.0,11.0,6.0
2_enseef_rutpt_genELtask_36_03_02,0.411253907606807,1.0,0.5828205759291161,16.0,2.0,2.0,0.999970859820378,0.935089398444181,0.966442410025773,38.0,16.0,12.0,0.9999599158452612,0.967316199705076,0.9833672233470432,26.0,20.0,6.0
2_enve_rutpt_genELtask_104_09_04,0.167809895660848,0.994679218254374,0.287171748678333,66.0,29.0,22.0,0.9999761978718432,0.7411172031692661,0.8513036262838821,72.0,32.0,22.0,0.9999448679254772,0.8648118499688351,0.927482027868995,40.0,30.0,12.0
2_enseef_rmcv_genELtask_25_02_02,0.6972711171232691,0.6280667320902841,0.660862122322123,35.0,19.0,19.0,0.999994308371914,0.066650169100057,0.124970955477214,52.0,8.0,28.0,0.999851179841882,0.380713051672687,0.551450465261634,50.0,32.0,30.0
2_enself_rt10v_genELtask_46_04_01,0.25000374998125,0.9560932750759872,0.396364304255718,47.0,26.0,14.0,,,,,,,0.99999166673611,0.523571420946443,0.6872929150364361,28.0,31.0,2.0
2_enve_rutpt_genELtask_92_08_03,0.7918985400959571,0.8607513102906881,0.824890651634898,50.0,32.0,32.0,0.999967139367258,0.5828774525979901,0.7364693941967031,56.0,20.0,22.0,0.999889328379646,0.784711070534819,0.8793276363340541,41.0,29.0,15.0
2_rt10v_rutpt_genELtask_39_03_05,0.7106696771109791,0.911764705882352,0.7987546811417171,11.0,7.0,4.0,0.9999663876844472,0.483394833948339,0.6517341546741701,18.0,7.0,5.0,0.999902527561172,0.935714285714285,0.966744112722958,18.0,13.0,9.0
2_enve_rutpt_genELtask_90_08_01,0.965262320562224,0.7686440923023531,0.8558053361097541,19.0,12.0,12.0,0.999973368540446,0.7842481606003021,0.8790694004289971,14.0,7.0,4.0,0.947355914307445,0.9556540197126232,0.9514868749990352,15.0,10.0,6.0
2_enseef_rt10v_genELtask_30_02_07,0.7274261453928691,0.7474647920773261,0.737309340920239,31.0,17.0,17.0,0.999969565638089,0.49631538701181,0.6633766931770031,40.0,9.0,13.0,0.9827215183894872,0.6358220435530331,0.772096616684245,39.0,25.0,17.0
2_ense_rt10v_genELtask_6_00_05,0.9999899905001912,1.0,0.999994995225048,9.0,6.0,2.0,0.9999899905001912,1.0,0.999994995225048,9.0,6.0,2.0,0.9999899905001912,1.0,0.999994995225048,9.0,6.0,2.0
2_enve_rt10v_genELtask_83_07_05,0.63766810311605,0.82383808095952,0.7188957146869801,20.0,12.0,10.0,0.9999849524483452,0.468847352024922,0.6383850567451991,18.0,7.0,7.0,0.9999267492461212,0.6979087706782,0.8220556586844351,21.0,14.0,10.0
2_ense_rutpt_genELtask_60_05_04,0.970546528974293,0.849847166705854,0.90619542328928,36.0,19.0,14.0,,,,,,,0.999948305140494,0.6450958302641651,0.7842494535469401,41.0,24.0,17.0
2_rmcv_rutpt_genELtask_27_02_04,0.989858681298604,0.706400742115027,0.8244457155629641,17.0,10.0,10.0,0.999961563039018,0.451928783382789,0.6225145221572881,15.0,7.0,6.0,0.7179240845917051,0.451928783382789,0.554686092572465,19.0,12.0,10.0
2_ense_enself_genELtask_68_06_01,0.375846683049094,0.9948169438816372,0.5455731679933841,27.0,17.0,8.0,,,,,,,0.945754097115007,0.509464155567057,0.6622069391622061,28.0,22.0,8.0
2_ense_rutpt_genELtask_64_05_08,0.925579613623396,0.335261569416499,0.492228962786787,42.0,26.0,25.0,0.9999911214204932,0.186399963043377,0.31422742553855,40.0,12.0,13.0,0.9583669308182,0.255417956656346,0.403340205867791,44.0,29.0,24.0
2_ense_rt10v_genELtask_52_04_07,0.96283828781031,0.757696061036195,0.848037446712772,19.0,12.0,12.0,0.9999737508925832,0.767222344888496,0.868270598626077,14.0,7.0,4.0,0.9491195800138532,0.934533148056838,0.941769887596226,15.0,10.0,6.0
2_enself_rt10v_genELtask_4_00_03,0.475717886543682,0.873407706305878,0.6159480931011121,35.0,22.0,13.0,,,,,,,0.968001734688637,0.474673908836393,0.636990260738525,34.0,26.0,12.0
2_enve_rutpt_genELtask_40_03_06,0.9181595948322372,0.311457174638487,0.465132552472846,39.0,20.0,20.0,,,,,,,0.8824390996804921,0.337837837837837,0.48861255718872,57.0,38.0,37.0
2_enve_rmcv_genELtask_6_00_05,0.999990024323254,1.0,0.999995012136748,9.0,6.0,2.0,0.999990024323254,1.0,0.999995012136748,9.0,6.0,2.0,0.999990024323254,1.0,0.999995012136748,9.0,6.0,2.0
2_enself_rt10v_genELtask_5_00_04,0.545070482757374,0.7510891903000411,0.631706966449578,30.0,18.0,16.0,,,,,,,0.878720533973232,0.341596510002819,0.491950627346905,34.0,21.0,17.0
2_rt10v_rutpt_genELtask_46_04_01,0.449428102739264,0.988165680473372,0.617851067740062,12.0,7.0,5.0,0.99994203234595,0.711967545638945,0.8317335024068031,16.0,7.0,4.0,0.9998956642708092,0.99715909090909,0.998525502620386,16.0,11.0,8.0
2_enself_rutpt_genELtask_16_01_04,0.330481074348851,0.9262709608730372,0.487152618349915,43.0,27.0,15.0,0.9999796345611012,0.405511155511155,0.5770267581442461,43.0,20.0,11.0,0.9374595290874732,0.595695242754066,0.7284850714466461,35.0,26.0,12.0
2_ense_rutpt_genELtask_51_04_06,0.68954353062947,0.866666666666666,0.7680252889365781,68.0,41.0,30.0,0.999979621268381,0.529411764705882,0.692302808582083,83.0,42.0,31.0,0.969111685495283,0.372699386503067,0.538357952433842,39.0,24.0,14.0
2_ense_rmcv_genELtask_15_01_03,0.5868420246057651,1.0,0.7396350934826801,12.0,5.0,3.0,0.999928282347008,0.9939161784587652,0.996913166156935,26.0,10.0,7.0,0.9999033128659012,1.0,0.999951654095737,13.0,7.0,4.0
2_ense_enve_genELtask_50_04_05,0.182506660542554,0.6640419947506561,0.286320428634979,35.0,22.0,12.0,0.999984410889412,0.428571428571428,0.599997193929473,42.0,17.0,8.0,0.937168118712648,0.450389105058365,0.6083933736860121,48.0,34.0,23.0
2_rt10v_rutpt_genELtask_36_03_02,0.9999684222991192,0.9746835443037972,0.9871641003301672,27.0,14.0,11.0,0.9999605278738992,0.798962386511024,0.8882324455132301,20.0,9.0,4.0,0.999933996438877,0.9746835443037972,0.987147325099058,25.0,14.0,9.0
2_enseef_enve_genELtask_43_03_09,0.214876579245927,0.995915307256792,0.353485808465591,57.0,27.0,16.0,0.9999805165548252,0.918682488970028,0.957609113455355,54.0,29.0,15.0,0.9999585932664372,0.918682488970028,0.957599060954287,36.0,30.0,8.0
2_enseef_rt10v_genELtask_35_03_01,0.391156045341259,0.55909169103733,0.460284379487729,101.0,53.0,52.0,,,,,,,0.936932843595019,0.222303397703602,0.359345829833517,47.0,36.0,22.0
2_rmcv_rt10v_genELtask_29_02_06,0.9660408814625492,0.411463412761186,0.577116862169062,55.0,35.0,35.0,,,,,,,0.7548793166177751,0.56297558205565,0.644955105577183,70.0,47.0,45.0
2_enseef_enself_genELtask_59_05_03,0.272726033063486,0.9775360105270572,0.426469826376751,51.0,29.0,15.0,,,,,,,,,,,,
2_rt10v_rutpt_genELtask_34_03_00,0.487808909827258,1.0,0.655741347702905,15.0,5.0,3.0,0.999924035423212,1.0,0.999962016268897,18.0,7.0,3.0,0.999924035423212,1.0,0.999962016268897,18.0,7.0,3.0
2_enve_rmcv_genELtask_70_06_03,0.347586684851292,0.938228122460038,0.507251278902368,46.0,29.0,16.0,0.9999801548798732,0.395704287667927,0.567028509892201,47.0,22.0,12.0,0.943213662107766,0.580070754716981,0.718356539061433,38.0,29.0,12.0
2_enve_rmcv_genELtask_81_07_03,0.8052215201204641,0.933556672250139,0.8646530374561281,70.0,36.0,32.0,0.9999666386676,0.533369803063457,0.6956751233721911,77.0,32.0,28.0,0.988543209867918,0.6580958999305071,0.79016249455882,46.0,24.0,20.0
2_enseef_rutpt_genELtask_33_02_10,0.095011168899106,0.911547911547911,0.172085740948745,24.0,13.0,12.0,,,,,,,0.989297973164528,0.204235093817614,0.338573551001341,57.0,47.0,23.0
2_enseef_rutpt_genELtask_44_03_10,0.091146671989072,0.792651296829971,0.163493310242416,58.0,33.0,20.0,,,,,,,0.9999922963848312,0.359577374300167,0.528953553477383,29.0,34.0,2.0
2_rmcv_rutpt_genELtask_20_01_08,0.5782801378586421,0.8451025056947601,0.6866825244936531,21.0,10.0,8.0,0.9999939483761052,0.15010906206623,0.261034276581731,35.0,7.0,14.0,0.9998891453152512,0.48886018727801,0.656666618260859,33.0,21.0,18.0
2_ense_rutpt_genELtask_73_06_06,0.343661633801327,0.93459966338062,0.5025358242100271,10.0,7.0,4.0,,,,,,,,,,,,
2_ense_rutpt_genELtask_43_03_09,0.523799546675301,0.810185185185185,0.63625110930794,34.0,19.0,13.0,0.9999809527437572,0.673469387755102,0.8048718790308921,42.0,21.0,9.0,0.999961906213096,0.6947368421052631,0.8198629728586311,25.0,23.0,6.0
2_ense_rt10v_genELtask_60_05_04,0.594380762823812,0.9383697813121272,0.727775238522635,20.0,12.0,10.0,0.99999176735647,0.247860470154912,0.397256056698389,29.0,7.0,8.0,0.9998871822436772,0.597046083189812,0.7476564471568381,28.0,22.0,15.0
2_ense_rt10v_genELtask_58_05_02,0.7518808197684701,0.7228979375991531,0.7371045876754511,36.0,20.0,19.0,0.99999208807758,0.215909563193549,0.355140326864629,36.0,11.0,12.0,0.8856271723435871,0.36583522297808,0.517784018570507,43.0,25.0,21.0
2_ense_rutpt_genELtask_24_02_01,0.5573481288122081,0.9546835135463492,0.7038094375497791,10.0,6.0,4.0,0.999960205665284,0.493147438682412,0.6605388647964611,17.0,6.0,5.0,0.9998916267014312,0.97099307877751,0.985230486954072,17.0,12.0,9.0
2_enself_enve_genELtask_9_00_08,0.9652359707947332,0.768362583466288,0.8556204691697781,19.0,12.0,12.0,0.999973396145827,0.7837486389796231,0.8787555155027321,14.0,7.0,4.0,0.9474799728159452,0.955149640211399,0.9512993479615832,15.0,10.0,6.0
2_enve_rmcv_genELtask_58_05_02,0.415008541816268,0.490962099125364,0.449801473993236,47.0,26.0,19.0,0.9999852099317732,0.212445123115098,0.350439897859302,40.0,14.0,12.0,0.8575302629017151,0.6815398075240591,0.7594729071203481,47.0,33.0,29.0
2_enseef_rmcv_genELtask_24_02_01,0.77567212523937,0.557521064367919,0.648748511821253,20.0,12.0,11.0,0.999983982079033,0.461944639247555,0.6319559424668221,19.0,8.0,7.0,0.962423342740302,0.685453696831505,0.8006624552153411,21.0,14.0,10.0
2_ense_rmcv_genELtask_36_03_02,0.6965863019071621,0.8709677419354831,0.7740775519905101,13.0,7.0,5.0,0.999969621176065,0.427355623100303,0.598802049151352,21.0,7.0,6.0,0.99991994157317,0.902439024390243,0.9486819182778732,21.0,14.0,11.0
2_rt10v_rutpt_genELtask_79_07_01,0.305577114979487,1.0,0.468110403397027,4.0,3.0,0.0,0.999969354526046,0.99458561940514,0.997270221033034,13.0,7.0,4.0,0.999969354526046,0.99458561940514,0.997270221033034,13.0,7.0,4.0
2_ense_enseef_genELtask_48_04_03,0.655072463768116,1.0,0.7915936952714531,21.0,2.0,2.0,0.9999344970445412,0.762408546724309,0.8651648263449251,59.0,21.0,19.0,0.994528764202692,0.968615904619812,0.981401313828198,39.0,26.0,12.0
2_enve_rutpt_genELtask_68_06_01,0.612758862758862,0.73631531718092,0.6688790625402841,11.0,2.0,4.0,0.999959583943106,0.734713515891344,0.8470573755230311,14.0,7.0,5.0,0.99995724197451,0.996940869240813,0.998446777448246,13.0,6.0,4.0
2_enself_rutpt_genELtask_19_01_07,0.8802105407158861,0.477698355968548,0.6192979944867101,29.0,17.0,16.0,0.999988489711354,0.299522207142724,0.460971595356243,34.0,11.0,9.0,0.937223459978035,0.449635384720234,0.6077169751010041,36.0,24.0,21.0
2_enself_rutpt_genELtask_15_01_03,0.553448813982521,0.482353832172069,0.515461429504232,27.0,2.0,12.0,0.9999728687179172,0.575028126757922,0.7301741740599811,39.0,11.0,12.0,0.954121079554186,0.683627547963718,0.796536712797817,34.0,21.0,13.0
2_ense_rt10v_genELtask_49_04_04,0.32819794712184,0.900523560209424,0.481069114575047,68.0,40.0,28.0,0.999978120136858,0.5835156819839531,0.736981621221618,75.0,35.0,25.0,0.996464599156002,0.30859375,0.471247507967231,54.0,33.0,23.0
2_ense_rutpt_genELtask_36_03_02,0.964589734525874,0.765441225888836,0.853553220455989,19.0,12.0,12.0,0.9999735343110272,0.7788563443159541,0.8756719692018531,14.0,7.0,4.0,0.948454201632237,0.948423937871174,0.948439069510284,15.0,10.0,6.0
2_ense_enself_genELtask_2_00_01,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0,0.9999916385568592,1.0,0.999995819260951,10.0,7.0,2.0
2_ense_rt10v_genELtask_53_04_08,0.375438596491228,1.0,0.545918367346938,5.0,4.0,0.0,0.9999716825400812,0.9649410439851612,0.9821440985953412,15.0,8.0,4.0,0.99995714450424,0.9649410439851612,0.982137086400542,16.0,9.0,5.0
2_enve_rutpt_genELtask_79_07_01,0.7245959005321511,1.0,0.84030804005572,6.0,5.0,0.0,0.999983389858438,0.9920143222202412,0.995982915750192,12.0,9.0,2.0,0.999983389858438,0.9920143222202412,0.995982915750192,12.0,9.0,2.0
2_ense_enve_genELtask_51_04_06,0.448062957547123,0.9944289693593312,0.617773696712791,8.0,5.0,2.0,0.99995956302415,0.285498504739216,0.444179343072323,24.0,5.0,5.0,0.9998886471346212,0.8052783575901411,0.8920932915681831,39.0,23.0,18.0
2_rmcv_rt10v_genELtask_37_03_03,0.9002713692269521,1.0,0.947518742644837,19.0,11.0,7.0,0.999966570032556,0.6698523023457861,0.8022785228808441,17.0,9.0,3.0,0.999929916709381,0.950678175092478,0.97468225671055,25.0,17.0,11.0
2_ense_enve_genELtask_31_02_08,0.88321907198791,1.0,0.937988665392594,43.0,21.0,16.0,0.999976675301335,1.0,0.9999883375146552,49.0,16.0,9.0,0.999962076127302,1.0,0.9999810377040892,33.0,20.0,7.0
2_enve_rt10v_genELtask_85_07_07,0.971842610813648,0.605565903363646,0.746179246853621,22.0,14.0,14.0,0.9999795552857752,0.5052420046913441,0.6713053926368471,17.0,7.0,6.0,0.936995854755172,0.7352531013237861,0.8239551959436151,18.0,12.0,8.0
2_ense_rutpt_genELtask_48_04_03,0.9650516985908292,0.7514651617104401,0.844970122359544,19.0,12.0,12.0,,,,,,,0.9504255156455352,0.9188994286348252,0.934396629070668,15.0,10.0,6.0
2_enseef_rmcv_genELtask_37_03_03,0.232737151913063,0.8909987219280621,0.36906983166942,56.0,27.0,17.0,0.999979809078554,0.7639950910978941,0.866202421878684,54.0,27.0,15.0,0.9999596189724392,0.7639950910978941,0.8661948471008121,35.0,27.0,9.0
2_enself_rt10v_genELtask_18_01_06,0.350082811041695,0.937825253355245,0.509844623287187,48.0,30.0,18.0,0.9999801320524332,0.394602479941648,0.565896400265661,47.0,22.0,12.0,0.943703763058128,0.578884793722506,0.717588157063451,38.0,29.0,12.0
2_ense_enve_genELtask_13_01_01,0.262561550272674,1.0,0.415918812379434,5.0,4.0,0.0,,,,,,,0.9999143769922932,1.0,0.9999571866632432,12.0,8.0,4.0
2_enseef_enve_genELtask_32_02_09,0.262397526131843,1.0,0.415712991668899,57.0,23.0,19.0,0.9999770461078112,0.995614002034741,0.997790754518516,49.0,22.0,14.0,0.99995409326936,0.995614002034741,0.9977793280957572,32.0,23.0,9.0
2_enve_rutpt_genELtask_38_03_04,0.999946849528312,0.8897058823529411,0.9416106769839412,15.0,8.0,7.0,0.9999325346723592,0.314285714285714,0.478253153380238,19.0,6.0,7.0,0.999845969258706,0.8897058823529411,0.9415659480713512,19.0,14.0,11.0
2_ense_rutpt_genELtask_55_04_10,0.922038199798948,0.372353673723536,0.5304797071605081,49.0,28.0,28.0,0.9999950000249992,0.122777591412277,0.218703196824962,63.0,23.0,19.0,0.966297488204652,0.17986838898367,0.303283104028023,41.0,25.0,22.0
2_enve_rmcv_genELtask_48_04_03,0.310591500770047,0.962264150943396,0.46960716460881,27.0,12.0,10.0,0.99995442068222,0.144990176817288,0.253258661738882,45.0,11.0,19.0,0.9543865417117092,0.771764705882352,0.8534151913847,32.0,21.0,18.0
2_ense_enve_genELtask_85_07_07,0.355510034247671,0.9505055016444032,0.51747354323988,48.0,28.0,13.0,,,,,,,,,,,,
2_rmcv_rt10v_genELtask_38_03_04,0.117096479831115,0.5127401019208151,0.190652822470773,46.0,29.0,16.0,0.99998321271705,0.485884101040118,0.6539964098646821,51.0,21.0,9.0,0.948058531506299,0.584840055632823,0.723417203148606,53.0,36.0,22.0
2_rt10v_rutpt_genELtask_92_08_03,0.553448813982521,0.482353832172069,0.515461429504232,27.0,2.0,12.0,0.9999728687179172,0.575028126757922,0.7301741740599811,39.0,11.0,12.0,0.954121079554186,0.683627547963718,0.796536712797817,34.0,21.0,13.0
